Id,UserId,PostId,VoteTypeId,BountyAmount,CreationDate
126,,30,2,,2010-08-06T00:00:00.000
127,,26,2,,2010-08-06T00:00:00.000
128,,25,2,,2010-08-06T00:00:00.000
129,,30,2,,2010-08-06T00:00:00.000
130,,30,2,,2010-08-06T00:00:00.000
131,,6,2,,2010-08-06T00:00:00.000
132,,29,2,,2010-08-07T00:00:00.000
133,,32,2,,2010-08-07T00:00:00.000
134,,6,2,,2010-08-07T00:00:00.000
135,,12,2,,2010-08-08T00:00:00.000
136,,13,2,,2010-08-08T00:00:00.000
137,,29,2,,2010-08-08T00:00:00.000
138,,32,2,,2010-08-08T00:00:00.000
139,,16,2,,2010-08-09T00:00:00.000
140,,16,1,,2010-08-09T00:00:00.000
141,,32,2,,2010-08-09T00:00:00.000
142,,34,2,,2010-08-09T00:00:00.000
143,,34,2,,2010-08-09T00:00:00.000
144,,32,2,,2010-08-09T00:00:00.000
145,,35,2,,2010-08-09T00:00:00.000
146,,35,2,,2010-08-09T00:00:00.000
147,,6,2,,2010-08-09T00:00:00.000
149,,3,1,,2010-08-10T00:00:00.000
150,,35,2,,2010-08-10T00:00:00.000
151,,36,2,,2010-08-11T00:00:00.000
153,,37,2,,2010-08-11T00:00:00.000
155,,37,2,,2010-08-11T00:00:00.000
156,,39,2,,2010-08-11T00:00:00.000
157,,40,2,,2010-08-11T00:00:00.000
158,,41,2,,2010-08-11T00:00:00.000
159,,6,2,,2010-08-11T00:00:00.000
160,,45,2,,2010-08-11T00:00:00.000
161,,47,2,,2010-08-11T00:00:00.000
162,,37,2,,2010-08-11T00:00:00.000
163,,37,2,,2010-08-11T00:00:00.000
164,,28,2,,2010-08-11T00:00:00.000
165,,48,2,,2010-08-11T00:00:00.000
167,,50,10,,2010-08-11T00:00:00.000
168,,52,10,,2010-08-11T00:00:00.000
169,,48,3,,2010-08-11T00:00:00.000
170,,54,2,,2010-08-12T00:00:00.000
171,,47,2,,2010-08-12T00:00:00.000
172,,54,2,,2010-08-12T00:00:00.000
174,,54,2,,2010-08-12T00:00:00.000
175,,54,2,,2010-08-12T00:00:00.000
176,,48,2,,2010-08-12T00:00:00.000
177,,55,2,,2010-08-12T00:00:00.000
178,,55,2,,2010-08-12T00:00:00.000
179,,48,2,,2010-08-12T00:00:00.000
180,,15,2,,2010-08-13T00:00:00.000
181,,57,2,,2010-08-14T00:00:00.000
182,,58,2,,2010-08-14T00:00:00.000
183,,11,2,,2010-08-15T00:00:00.000
184,,56,2,,2010-08-15T00:00:00.000
185,,60,2,,2010-08-15T00:00:00.000
186,,56,2,,2010-08-16T00:00:00.000
187,,57,2,,2010-08-16T00:00:00.000
188,,63,2,,2010-08-16T00:00:00.000
189,,30,2,,2010-08-17T00:00:00.000
190,,65,2,,2010-08-17T00:00:00.000
191,,66,2,,2010-08-17T00:00:00.000
192,,47,2,,2010-08-17T00:00:00.000
193,,57,2,,2010-08-17T00:00:00.000
194,,67,2,,2010-08-17T00:00:00.000
196,,12,2,,2010-08-17T00:00:00.000
197,,67,2,,2010-08-18T00:00:00.000
198,,68,2,,2010-08-18T00:00:00.000
199,,63,2,,2010-08-18T00:00:00.000
200,,67,2,,2010-08-18T00:00:00.000
201,,70,2,,2010-08-18T00:00:00.000
203,,69,2,,2010-08-18T00:00:00.000
204,,71,2,,2010-08-18T00:00:00.000
205,,69,2,,2010-08-18T00:00:00.000
206,,70,2,,2010-08-18T00:00:00.000
207,,71,2,,2010-08-18T00:00:00.000
208,,62,2,,2010-08-18T00:00:00.000
209,,58,2,,2010-08-18T00:00:00.000
210,,67,2,,2010-08-18T00:00:00.000
211,,76,2,,2010-08-18T00:00:00.000
213,,31,2,,2010-08-18T00:00:00.000
214,,65,2,,2010-08-18T00:00:00.000
